div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	37074	23.582919335653	DNA
0	LINE	8904	5.66386992945607	LINE
0	LTR	14660	9.32528449750965	LTR
0	RC	743	0.472625264778286	RC
0	SINE	4	0.00254441596112132	SINE
1	DNA	10173	6.47108589312181	DNA
1	LINE	1066	0.678086853638833	LINE
1	LTR	3882	2.46935569026824	LTR
1	RC	189	0.120223654162983	RC
2	DNA	8323	5.2942935111032	DNA
2	LINE	529	0.336499010858295	LINE
2	LTR	3181	2.02344679308173	LTR
2	RC	135	0.0858740386878447	RC
3	DNA	6606	4.20210295979187	DNA
3	LINE	347	0.220728084627275	LINE
3	LTR	2596	1.65132595876774	LTR
3	RC	95	0.0604298790766315	RC
4	DNA	5119	3.25621632624501	DNA
4	LINE	260	0.165387037472886	LINE
4	LTR	2168	1.37907345092776	LTR
4	RC	76	0.0483439032613052	RC
5	DNA	4258	2.70853079061365	DNA
5	LINE	205	0.130401318007468	LINE
5	LTR	1757	1.11763471092254	LTR
5	RC	54	0.0343496154751379	RC
5	SINE	1	0.000636103990280331	SINE
6	DNA	3507	2.23081669391312	DNA
6	LINE	195	0.124040278104665	LINE
6	LTR	1425	0.906448186149472	LTR
6	RC	59	0.0375301354265395	RC
6	SINE	2	0.00127220798056066	SINE
7	DNA	2869	1.82498234811427	DNA
7	LINE	142	0.090326766619807	LINE
7	LTR	1133	0.720705820987615	LTR
7	RC	67	0.0426189673487822	RC
7	SINE	2	0.00127220798056066	SINE
8	DNA	2538	1.61443192733148	DNA
8	LINE	125	0.0795129987850414	LINE
8	LTR	1085	0.690172829454159	LTR
8	RC	68	0.0432550713390625	RC
8	SINE	4	0.00254441596112132	SINE
9	DNA	2181	1.3873428028014	DNA
9	LINE	95	0.0604298790766315	LINE
9	LTR	831	0.528602415922955	LTR
9	RC	61	0.0388023434071002	RC
9	SINE	1	0.000636103990280331	SINE
10	DNA	2100	1.3358183795887	DNA
10	LINE	116	0.0737880628725184	LINE
10	LTR	853	0.542596703709122	LTR
10	RC	69	0.0438911753293428	RC
11	DNA	1886	1.1996921256687	DNA
11	LINE	117	0.0744241668627987	LINE
11	LTR	693	0.440820065264269	LTR
11	RC	63	0.0400745513876609	RC
11	SINE	1	0.000636103990280331	SINE
12	DNA	1762	1.12081523087394	DNA
12	LINE	96	0.0610659830669118	LINE
12	LTR	710	0.451633833099035	LTR
12	RC	66	0.0419828633585018	RC
12	SINE	2	0.00127220798056066	SINE
13	DNA	1695	1.07819626352516	DNA
13	LINE	117	0.0744241668627987	LINE
13	LTR	633	0.40265382584745	LTR
13	RC	45	0.0286246795626149	RC
13	SINE	3	0.00190831197084099	SINE
14	DNA	1479	0.94079780162461	DNA
14	LINE	111	0.0706075429211167	LINE
14	LTR	676	0.430006297429504	LTR
14	RC	53	0.0337135114848575	RC
14	SINE	4	0.00254441596112132	SINE
15	DNA	1476	0.938889489653769	DNA
15	LINE	124	0.0788768947947611	LINE
15	LTR	569	0.361943170469508	LTR
15	RC	47	0.0298968875431756	RC
15	SINE	5	0.00318051995140166	SINE
16	DNA	1348	0.857468178897886	DNA
16	LINE	112	0.0712436469113971	LINE
16	LTR	601	0.382298498158479	LTR
16	RC	48	0.0305329915334559	RC
16	SINE	1	0.000636103990280331	SINE
17	DNA	1190	0.756963748433594	DNA
17	LINE	114	0.0725158548919577	LINE
17	LTR	557	0.354309922586144	LTR
17	RC	45	0.0286246795626149	RC
17	SINE	3	0.00190831197084099	SINE
18	DNA	1083	0.688900621473598	DNA
18	LINE	106	0.0674270229697151	LINE
18	LTR	473	0.300877187402597	LTR
18	RC	52	0.0330774074945772	RC
18	SINE	2	0.00127220798056066	SINE
19	DNA	797	0.506974880253424	DNA
19	LINE	82	0.0521605272029871	LINE
19	LTR	391	0.248716660199609	LTR
19	RC	39	0.0248080556209329	RC
19	SINE	2	0.00127220798056066	SINE
20	DNA	855	0.543868911689683	DNA
20	LINE	83	0.0527966311932675	LINE
20	LTR	411	0.261438740005216	LTR
20	RC	36	0.0228997436500919	RC
20	SINE	5	0.00318051995140166	SINE
21	DNA	662	0.421100841565579	DNA
21	LINE	78	0.0496161112418658	LINE
21	LTR	284	0.180653533239614	LTR
21	RC	30	0.0190831197084099	RC
21	SINE	1	0.000636103990280331	SINE
22	DNA	556	0.353673818595864	DNA
22	LINE	55	0.0349857194654182	LINE
22	LTR	250	0.159025997570083	LTR
22	RC	29	0.0184470157181296	RC
22	SINE	2	0.00127220798056066	SINE
23	DNA	416	0.264619259956618	DNA
23	LINE	51	0.0324413035042969	LINE
23	LTR	201	0.127856902046347	LTR
23	RC	27	0.0171748077375689	RC
24	DNA	272	0.17302028535625	DNA
24	LINE	33	0.0209914316792509	LINE
24	LTR	150	0.0954155985420497	LTR
24	RC	13	0.0082693518736443	RC
25	DNA	301	0.19146730107438	DNA
25	LINE	41	0.0260802636014936	LINE
25	LTR	134	0.0852379346975644	LTR
25	RC	20	0.0127220798056066	RC
26	DNA	145	0.092235078590648	DNA
26	LINE	28	0.0178109117278493	LINE
26	LTR	106	0.0674270229697151	LTR
26	RC	11	0.00699714389308364	RC
27	DNA	104	0.0661548149891544	DNA
27	LINE	17	0.0108137678347656	LINE
27	LTR	79	0.0502522152321461	LTR
27	RC	9	0.00572493591252298	RC
28	DNA	82	0.0521605272029871	DNA
28	LINE	13	0.0082693518736443	LINE
28	LTR	40	0.0254441596112132	LTR
28	RC	6	0.00381662394168199	RC
29	DNA	53	0.0337135114848575	DNA
29	LINE	5	0.00318051995140166	LINE
29	LTR	24	0.0152664957667279	LTR
29	RC	2	0.00127220798056066	RC
30	DNA	25	0.0159025997570083	DNA
30	LINE	2	0.00127220798056066	LINE
30	LTR	13	0.0082693518736443	LTR
30	RC	3	0.00190831197084099	RC
31	DNA	12	0.00763324788336397	DNA
31	LINE	1	0.000636103990280331	LINE
31	LTR	6	0.00381662394168199	LTR
32	DNA	4	0.00254441596112132	DNA
32	LINE	2	0.00127220798056066	LINE
32	LTR	4	0.00254441596112132	LTR
33	DNA	2	0.00127220798056066	DNA
33	LINE	1	0.000636103990280331	LINE
