div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	56177	20.3924800075505	DNA
0	LINE	9588	3.48048308582505	LINE
0	LTR	29257	10.6204102672073	LTR
0	RC	6175	2.24155017260844	RC
0	SINE	17	0.00617106930110825	SINE
1	DNA	14959	5.43017798089873	DNA
1	LINE	1327	0.481706409562979	LINE
1	LTR	6765	2.45572257776455	LTR
1	RC	537	0.194933189099714	RC
1	SINE	1	0.00036300407653578	SINE
2	DNA	12454	4.5208527691766	DNA
2	LINE	997	0.361915064306172	LINE
2	LTR	5358	1.94497584207871	LTR
2	RC	363	0.131770479782488	RC
3	DNA	9967	3.61806163083211	DNA
3	LINE	684	0.248294788350473	LINE
3	LTR	4533	1.64549747893669	LTR
3	RC	328	0.119065337103736	RC
4	DNA	8524	3.09424674839098	DNA
4	LINE	506	0.183680062727104	LINE
4	LTR	3764	1.36634734408067	LTR
4	RC	489	0.177508993425996	RC
5	DNA	7180	2.6063692695269	DNA
5	LINE	375	0.136126528700917	LINE
5	LTR	3302	1.19863946072114	LTR
5	RC	261	0.0947440639758385	RC
6	DNA	6017	2.18419552851579	DNA
6	LINE	328	0.119065337103736	LINE
6	LTR	2739	0.9942681656315	LTR
6	RC	224	0.0813129131440146	RC
7	DNA	5305	1.92573662602231	DNA
7	LINE	305	0.110716243343413	LINE
7	LTR	2335	0.847614518711045	LTR
7	RC	209	0.0758678519959779	RC
8	DNA	4898	1.77799396687225	DNA
8	LINE	226	0.0820389212970862	LINE
8	LTR	2112	0.766664609643566	LTR
8	RC	226	0.0820389212970862	RC
9	DNA	4318	1.5674516024815	DNA
9	LINE	202	0.0733268234602275	LINE
9	LTR	1790	0.649777296999045	LTR
9	RC	192	0.0696967826948697	RC
10	DNA	4569	1.65856562569198	DNA
10	LINE	210	0.0762308560725137	LINE
10	LTR	1788	0.649051288845974	LTR
10	RC	227	0.082401925373622	RC
10	SINE	1	0.00036300407653578	SINE
11	DNA	4077	1.47996762003637	DNA
11	LINE	199	0.0722378112306201	LINE
11	LTR	1531	0.555759241176278	LTR
11	RC	168	0.060984684858011	RC
11	SINE	1	0.00036300407653578	SINE
12	DNA	3875	1.40664079657615	DNA
12	LINE	311	0.112894267802627	LINE
12	LTR	1561	0.566649363472352	LTR
12	RC	203	0.0736898275367632	RC
12	SINE	2	0.000726008153071559	SINE
13	DNA	3470	1.25962414557915	DNA
13	LINE	338	0.122695377869093	LINE
13	LTR	1431	0.519458833522701	LTR
13	RC	195	0.070785794924477	RC
13	SINE	6	0.00217802445921468	SINE
14	DNA	3339	1.21207061155297	DNA
14	LINE	203	0.0736898275367632	LINE
14	LTR	1427	0.518006817216557	LTR
14	RC	128	0.0464645217965798	RC
14	SINE	7	0.00254102853575046	SINE
15	DNA	3200	1.16161304491449	DNA
15	LINE	206	0.0747788397663706	LINE
15	LTR	1313	0.476624352491478	LTR
15	RC	151	0.0548136155569027	RC
15	SINE	3	0.00108901222960734	SINE
16	DNA	2866	1.04036968335154	DNA
16	LINE	176	0.0638887174702972	LINE
16	LTR	1209	0.438871928531757	LTR
16	RC	148	0.0537246033272954	RC
16	SINE	1	0.00036300407653578	SINE
17	DNA	2472	0.897346077196447	DNA
17	LINE	173	0.0627997052406899	LINE
17	LTR	1099	0.398941480112822	LTR
17	RC	117	0.0424714769546862	RC
17	SINE	4	0.00145201630614312	SINE
18	DNA	2142	0.77755473193964	DNA
18	LINE	170	0.0617106930110825	LINE
18	LTR	1004	0.364456092841923	LTR
18	RC	110	0.0399304484189357	RC
18	SINE	4	0.00145201630614312	SINE
