div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	38547	23.6939644839477	DNA
0	LINE	4025	2.47407598640334	LINE
0	LTR	20643	12.6887827546147	LTR
0	RC	890	0.547062764695397	RC
0	SINE	16	0.00983483621924309	SINE
1	DNA	8747	5.37658202560745	DNA
1	LINE	592	0.363888940111994	LINE
1	LTR	3622	2.22636104913115	LTR
1	RC	186	0.114329971048701	RC
2	DNA	6950	4.27200698273372	DNA
2	LINE	444	0.272916705083996	LINE
2	LTR	2979	1.83112356857032	LTR
2	RC	160	0.0983483621924309	RC
3	DNA	5616	3.45202751295432	DNA
3	LINE	346	0.212678333241132	LINE
3	LTR	2280	1.40146416124214	LTR
3	RC	121	0.0743759489080258	RC
4	DNA	4804	2.95290957482774	DNA
4	LINE	256	0.157357379507889	LINE
4	LTR	2072	1.27361129039198	LTR
4	RC	126	0.0774493352265393	RC
5	DNA	3996	2.45625034575596	DNA
5	LINE	222	0.136458352541998	LINE
5	LTR	1800	1.10641907466485	LTR
5	RC	112	0.0688438535347016	RC
6	DNA	3439	2.11387510987356	DNA
6	LINE	195	0.119862066422025	LINE
6	LTR	1523	0.936153472619201	LTR
6	RC	84	0.0516328901510262	RC
7	DNA	3182	1.95590305310197	DNA
7	LINE	143	0.0878988487094851	LINE
7	LTR	1375	0.845181237591203	LTR
7	RC	107	0.0657704672161881	RC
7	SINE	1	0.000614677263702693	SINE
8	DNA	2847	1.74998616976157	DNA
8	LINE	126	0.0774493352265393	LINE
8	LTR	1164	0.715484334949935	LTR
8	RC	108	0.0663851444798908	RC
8	SINE	1	0.000614677263702693	SINE
9	DNA	2446	1.50350058701679	DNA
9	LINE	120	0.0737612716443231	LINE
9	LTR	1018	0.625741454449341	LTR
9	RC	76	0.0467154720414047	RC
9	SINE	1	0.000614677263702693	SINE
10	DNA	2506	1.54038122283895	DNA
10	LINE	136	0.0835961078635662	LINE
10	LTR	1017	0.625126777185639	LTR
10	RC	86	0.0528622446784316	RC
10	SINE	2	0.00122935452740539	SINE
11	DNA	2204	1.35474868920073	DNA
