div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	37133	17.0640136023161	DNA
0	LINE	9606	4.41431919488994	LINE
0	LTR	32955	15.144065070539	LTR
0	RC	1954	0.897936675704242	RC
0	SINE	22	0.0101098295115114	SINE
1	DNA	10827	4.97541473277882	DNA
1	LINE	1101	0.50595101328064	LINE
1	LTR	8087	3.71628142089058	LTR
1	RC	389	0.178760167271725	RC
2	DNA	8733	4.01314277836496	DNA
2	LINE	748	0.343734203391388	LINE
2	LTR	5675	2.60787647626488	LTR
2	RC	299	0.137401773815542	RC
2	SINE	2	0.000919075410137402	SINE
3	DNA	7032	3.2314691420431	DNA
3	LINE	510	0.234364229585037	LINE
3	LTR	4174	1.91811038095676	LTR
3	RC	260	0.119479803317862	RC
3	SINE	1	0.000459537705068701	SINE
4	DNA	6204	2.85097192224622	DNA
4	LINE	429	0.197141675474473	LINE
4	LTR	3390	1.5578328201829	LTR
4	RC	212	0.0974219934745646	RC
4	SINE	1	0.000459537705068701	SINE
5	DNA	5385	2.47461054179495	DNA
5	LINE	321	0.147511603327053	LINE
5	LTR	2820	1.29589632829374	LTR
5	RC	196	0.0900693901934654	RC
5	SINE	1	0.000459537705068701	SINE
6	DNA	4687	2.153853223657	DNA
6	LINE	260	0.119479803317862	LINE
6	LTR	2311	1.06199163641377	LTR
6	RC	192	0.0882312393731906	RC
6	SINE	2	0.000919075410137402	SINE
7	DNA	4034	1.85377510224714	DNA
7	LINE	268	0.123156104958412	LINE
7	LTR	1882	0.864849960939295	LTR
7	RC	175	0.0804190983870227	RC
8	DNA	3607	1.6575525021828	DNA
8	LINE	235	0.107991360691145	LINE
8	LTR	1621	0.744910619916364	LTR
8	RC	153	0.0703092688755112	RC
8	SINE	1	0.000459537705068701	SINE
9	DNA	3203	1.47189926933505	DNA
9	LINE	210	0.0965029180644272	LINE
9	LTR	1420	0.652543541197555	LTR
9	RC	145	0.0666329672349616	RC
10	DNA	3212	1.47603510868067	DNA
10	LINE	276	0.126832406598961	LINE
10	LTR	1429	0.656679380543174	LTR
10	RC	134	0.0615780524792059	RC
10	SINE	2	0.000919075410137402	SINE
11	DNA	2879	1.32300905289279	DNA
11	LINE	262	0.120398878728	LINE
11	LTR	1157	0.531685124764487	LTR
11	RC	140	0.0643352787096181	RC
11	SINE	2	0.000919075410137402	SINE
12	DNA	2791	1.28256973484674	DNA
12	LINE	429	0.197141675474473	LINE
12	LTR	1155	0.53076604935435	LTR
12	RC	141	0.0647948164146868	RC
12	SINE	2	0.000919075410137402	SINE
13	DNA	2510	1.15343963972244	DNA
13	LINE	518	0.238040531225587	LINE
13	LTR	1047	0.48113597720693	LTR
13	RC	123	0.0565231377234502	RC
13	SINE	2	0.000919075410137402	SINE
14	DNA	2354	1.08175175773172	DNA
14	LINE	308	0.14153761316116	LINE
14	LTR	991	0.455401865723083	LTR
14	RC	159	0.0730664951059234	RC
15	DNA	2225	1.02247139377786	DNA
15	LINE	225	0.103395983640458	LINE
15	LTR	920	0.422774688663205	LTR
15	RC	111	0.0510086852626258	RC
15	SINE	2	0.000919075410137402	SINE
16	DNA	1964	0.902532052754929	DNA
16	LINE	164	0.075364183631267	LINE
16	LTR	923	0.424153301778411	LTR
16	RC	114	0.0523872983778319	RC
16	SINE	4	0.0018381508202748	SINE
17	DNA	1786	0.8207343412527	DNA
17	LINE	158	0.0726069574008547	LINE
17	LTR	853	0.391985662423602	LTR
17	RC	103	0.0473323836220762	RC
17	SINE	2	0.000919075410137402	SINE
18	DNA	1493	0.68608979366757	DNA
18	LINE	149	0.0684711180552364	LINE
18	LTR	795	0.365332475529617	LTR
18	RC	92	0.0422774688663205	RC
18	SINE	3	0.0013786131152061	SINE
19	DNA	1155	0.53076604935435	DNA
19	LINE	121	0.0556040623133128	LINE
19	LTR	628	0.288589678783144	LTR
19	RC	78	0.0358439409953587	RC
19	SINE	4	0.0018381508202748	SINE
20	DNA	1188	0.545930793621617	DNA
20	LINE	124	0.0569826754285189	LINE
20	LTR	608	0.27939892468177	LTR
20	RC	93	0.0427370065713892	RC
20	SINE	2	0.000919075410137402	SINE
21	DNA	869	0.399338265704701	DNA
21	LINE	105	0.0482514590322136	LINE
21	LTR	493	0.22655208859887	LTR
21	RC	57	0.0261936491889159	RC
21	SINE	2	0.000919075410137402	SINE
22	DNA	734	0.337300675520426	DNA
22	LINE	103	0.0473323836220762	LINE
22	LTR	427	0.196222600064335	LTR
22	RC	45	0.0206791967280915	RC
23	DNA	538	0.247231285326961	DNA
23	LINE	75	0.0344653278801526	LINE
23	LTR	377	0.1732457148109	LTR
23	RC	33	0.0151647442672671	RC
24	DNA	395	0.181517393502137	DNA
24	LINE	61	0.0280318000091908	LINE
24	LTR	248	0.113965350857038	LTR
24	RC	41	0.0188410459078167	RC
24	SINE	2	0.000919075410137402	SINE
25	DNA	318	0.146132990211847	DNA
25	LINE	67	0.030789026239603	LINE
25	LTR	281	0.129130095124305	LTR
25	RC	27	0.0124075180368549	RC
25	SINE	1	0.000459537705068701	SINE
26	DNA	238	0.109369973806351	DNA
26	LINE	36	0.0165433573824732	LINE
26	LTR	186	0.0854740131427784	LTR
26	RC	20	0.00919075410137402	RC
27	DNA	162	0.0744451082211295	DNA
27	LINE	38	0.0174624327926106	LINE
27	LTR	128	0.0588208262487937	LTR
27	RC	24	0.0110289049216488	RC
28	DNA	101	0.0464133082119388	DNA
28	LINE	22	0.0101098295115114	LINE
28	LTR	88	0.0404393180460457	LTR
28	RC	19	0.00873121639630532	RC
29	DNA	65	0.0298699508294656	DNA
29	LINE	9	0.00413583934561831	LINE
29	LTR	49	0.0225173475483663	LTR
29	RC	4	0.0018381508202748	RC
30	DNA	30	0.013786131152061	DNA
30	LINE	2	0.000919075410137402	LINE
30	LTR	36	0.0165433573824732	LTR
30	RC	4	0.0018381508202748	RC
31	DNA	18	0.00827167869123662	DNA
31	LINE	5	0.0022976885253435	LINE
31	LTR	21	0.00965029180644272	LTR
31	RC	1	0.000459537705068701	RC
32	DNA	8	0.00367630164054961	DNA
32	LINE	1	0.000459537705068701	LINE
32	LTR	8	0.00367630164054961	LTR
32	RC	1	0.000459537705068701	RC
33	DNA	3	0.0013786131152061	DNA
34	LTR	1	0.000459537705068701	LTR
