div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	45044	22.0267289984694	DNA
0	LINE	3402	1.66359408695482	LINE
0	LTR	22372	10.9400137899333	LTR
0	RC	1273	0.6225030196042	RC
0	SINE	13	0.00635706147278444	SINE
1	DNA	10924	5.34188765605363	DNA
1	LINE	708	0.346215347902414	LINE
1	LTR	5231	2.55798373570272	LTR
1	RC	284	0.138877342943906	RC
2	DNA	8841	4.3232908062221	DNA
2	LINE	514	0.251348430539323	LINE
2	LTR	4048	1.97949114167934	LTR
2	RC	220	0.10758104030866	RC
3	DNA	7308	3.57364655716221	DNA
3	LINE	392	0.191689853640885	LINE
3	LTR	3204	1.56677115067703	LTR
3	RC	209	0.102201988293227	RC
4	DNA	6358	3.10909206492027	DNA
4	LINE	296	0.144745399688015	LINE
4	LTR	2883	1.40980063277212	LTR
4	RC	185	0.0904658748050094	RC
5	DNA	5510	2.69441605500325	DNA
5	LINE	241	0.11785013961085	LINE
5	LTR	2551	1.24745106285178	LTR
5	RC	151	0.0738397140300347	RC
6	DNA	4807	2.35064573074422	DNA
6	LINE	205	0.100245969378524	LINE
6	LTR	2022	0.988767561382319	LTR
6	RC	134	0.0655266336425473	RC
7	DNA	4356	2.13010459811146	DNA
7	LINE	238	0.116383125424823	LINE
7	LTR	1720	0.841088133322249	LTR
7	RC	114	0.0557465390690328	RC
7	SINE	1	0.000489004728675726	SINE
8	DNA	4142	2.02545758617486	DNA
8	LINE	180	0.0880208511616307	LINE
8	LTR	1543	0.754534296346646	LTR
8	RC	145	0.0709056856579803	RC
9	DNA	3576	1.7486809097444	DNA
9	LINE	176	0.0860648322469278	LINE
9	LTR	1223	0.598052783170413	LTR
9	RC	111	0.0542795248830056	RC
10	DNA	3594	1.75748299486056	DNA
10	LINE	236	0.115405115967471	LINE
10	LTR	1268	0.620057995960821	LTR
10	RC	119	0.0581915627124114	RC
11	DNA	3162	1.54623295207265	DNA
11	LINE	190	0.092910898448388	LINE
11	LTR	1172	0.573113542007951	LTR
11	RC	116	0.0567245485263843	RC
12	DNA	3204	1.56677115067703	DNA
12	LINE	213	0.10415800720793	LINE
12	LTR	1067	0.521768045497	LTR
12	RC	134	0.0655266336425473	RC
13	DNA	2905	1.42055873680298	DNA
13	LINE	236	0.115405115967471	LINE
13	LTR	1086	0.531059135341839	LTR
13	RC	119	0.0581915627124114	RC
13	SINE	1	0.000489004728675726	SINE
14	DNA	2595	1.26896727091351	DNA
14	LINE	220	0.10758104030866	LINE
14	LTR	1015	0.496339799605862	LTR
14	RC	117	0.05721355325506	RC
15	DNA	2489	1.21713276967388	DNA
15	LINE	194	0.0948669173630909	LINE
15	LTR	1060	0.51834501239627	LTR
15	RC	127	0.0621036005418172	RC
16	DNA	2375	1.16138623060485	DNA
16	LINE	183	0.0894878653476579	LINE
16	LTR	932	0.455752407125777	LTR
16	RC	103	0.0503674870535998	RC
16	SINE	2	0.000978009457351453	SINE
17	DNA	2108	1.03082196804843	DNA
17	LINE	167	0.0816637896888463	LINE
17	LTR	813	0.397560844413365	LTR
17	RC	89	0.0435214208521396	RC
17	SINE	3	0.00146701418602718	SINE
18	DNA	1815	0.887543582546443	DNA
18	LINE	152	0.0743287187587104	LINE
18	LTR	810	0.396093830227338	LTR
18	RC	98	0.0479224634102212	RC
19	DNA	1422	0.695364724176883	DNA
19	LINE	116	0.0567245485263843	LINE
19	LTR	606	0.29633686557749	LTR
19	RC	66	0.0322743120925979	RC
19	SINE	1	0.000489004728675726	SINE
20	DNA	1396	0.682650601231314	DNA
20	LINE	129	0.0630816099991687	LINE
20	LTR	652	0.318831083096574	LTR
20	RC	87	0.0425434113947882	RC
21	DNA	1010	0.493894775962484	DNA
21	LINE	93	0.0454774397668425	LINE
21	LTR	470	0.229832222477591	LTR
