div_bin	TE_subclass	count	percent_TE	TE_class
0	DNA	35137	20.4166182452063	DNA
0	LINE	5086	2.95525857059849	LINE
0	LTR	27148	15.7745496804184	LTR
0	RC	1347	0.782684485764091	RC
0	SINE	20	0.0116211504938989	SINE
1	DNA	7623	4.42940151074956	DNA
1	LINE	883	0.513073794305636	LINE
1	LTR	4589	2.6664729808251	LTR
1	RC	408	0.237071470075537	RC
1	SINE	2	0.00116211504938989	SINE
2	DNA	6384	3.70947123765253	DNA
2	LINE	563	0.327135386403254	LINE
2	LTR	3766	2.18826263800116	LTR
2	RC	301	0.174898314933178	RC
2	SINE	2	0.00116211504938989	SINE
3	DNA	5158	2.99709471237653	DNA
3	LINE	440	0.255665310865776	LINE
3	LTR	3024	1.75711795467751	LTR
3	RC	285	0.165601394538059	RC
4	DNA	4656	2.70540383497966	DNA
4	LINE	354	0.20569436374201	LINE
4	LTR	2725	1.58338175479372	LTR
4	RC	223	0.129575828006973	RC
5	DNA	4128	2.39860546194073	DNA
5	LINE	330	0.191748983149332	LINE
5	LTR	2332	1.35502614758861	LTR
5	RC	178	0.1034282393957	RC
6	DNA	3653	2.12260313771063	DNA
6	LINE	207	0.120278907611854	LINE
6	LTR	1972	1.14584543869843	LTR
6	RC	169	0.0981987216734457	RC
7	DNA	3318	1.92794886693783	DNA
7	LINE	233	0.135386403253922	LINE
7	LTR	1646	0.956420685647879	LTR
7	RC	116	0.0674026728646136	RC
8	DNA	3195	1.85647879140035	DNA
8	LINE	168	0.0976176641487507	LINE
8	LTR	1544	0.897152818128995	LTR
8	RC	118	0.0685647879140035	RC
9	DNA	2865	1.66472980825102	DNA
9	LINE	155	0.0900639163277164	LINE
9	LTR	1174	0.682161533991865	LTR
9	RC	100	0.0581057524694945	RC
9	SINE	1	0.000581057524694945	SINE
10	DNA	2729	1.5857059848925	DNA
10	LINE	150	0.0871586287042417	LINE
10	LTR	1196	0.694944799535154	LTR
10	RC	78	0.0453224869262057	RC
10	SINE	3	0.00174317257408483	SINE
11	DNA	2330	1.35386403253922	DNA
11	LINE	141	0.0819291109819872	LINE
11	LTR	950	0.552004648460198	LTR
11	RC	94	0.0546194073213248	RC
11	SINE	4	0.00232423009877978	SINE
12	DNA	2320	1.34805345729227	DNA
12	LINE	151	0.0877396862289367	LINE
12	LTR	981	0.570017431725741	LTR
12	RC	83	0.0482277745496804	RC
13	DNA	2086	1.21208599651365	DNA
13	LINE	155	0.0900639163277164	LINE
13	LTR	820	0.476467170249855	LTR
13	RC	91	0.05287623474724	RC
13	SINE	1	0.000581057524694945	SINE
14	DNA	1881	1.09296920395119	DNA
14	LINE	156	0.0906449738524114	LINE
14	LTR	777	0.451481696687972	LTR
14	RC	97	0.0563625798954096	RC
14	SINE	1	0.000581057524694945	SINE
15	DNA	1723	1.00116211504939	DNA
15	LINE	127	0.073794305636258	LINE
15	LTR	729	0.423590935502615	LTR
15	RC	78	0.0453224869262057	RC
15	SINE	1	0.000581057524694945	SINE
16	DNA	1568	0.911098198721673	DNA
16	LINE	106	0.0615920976176642	LINE
16	LTR	689	0.400348634514817	LTR
16	RC	96	0.0557815223707147	RC
16	SINE	2	0.00116211504938989	SINE
17	DNA	1312	0.762347472399768	DNA
17	LINE	137	0.0796048808832074	LINE
17	LTR	579	0.336432306798373	LTR
17	RC	54	0.031377106333527	RC
17	SINE	3	0.00174317257408483	SINE
18	DNA	1209	0.702498547356188	DNA
18	LINE	123	0.0714700755374782	LINE
18	LTR	529	0.307379430563626	LTR
18	RC	56	0.0325392213829169	RC
19	DNA	953	0.553747821034282	DNA
19	LINE	101	0.0586868099941894	LINE
19	LTR	430	0.249854735618826	LTR
19	RC	45	0.0261475886112725	RC
19	SINE	1	0.000581057524694945	SINE
20	DNA	953	0.553747821034282	DNA
20	LINE	83	0.0482277745496804	LINE
20	LTR	425	0.246949447995352	LTR
20	RC	44	0.0255665310865776	RC
20	SINE	3	0.00174317257408483	SINE
21	DNA	713	0.414294015107496	DNA
21	LINE	85	0.0493898895990703	LINE
21	LTR	331	0.192330040674027	LTR
21	RC	43	0.0249854735618826	RC
21	SINE	1	0.000581057524694945	SINE
22	DNA	581	0.337594421847763	DNA
22	LINE	78	0.0453224869262057	LINE
22	LTR	294	0.170830912260314	LTR
22	RC	17	0.00987797791981406	RC
22	SINE	2	0.00116211504938989	SINE
23	DNA	457	0.26554328878559	DNA
23	LINE	76	0.0441603718768158	LINE
23	LTR	224	0.130156885531668	LTR
23	RC	22	0.0127832655432888	RC
23	SINE	2	0.00116211504938989	SINE
24	DNA	304	0.176641487507263	DNA
24	LINE	28	0.0162696106914585	LINE
24	LTR	161	0.0935502614758861	LTR
24	RC	20	0.0116211504938989	RC
25	DNA	299	0.173736199883788	DNA
25	LINE	47	0.0273097036606624	LINE
25	LTR	163	0.094712376525276	LTR
25	RC	23	0.0133643230679837	RC
25	SINE	1	0.000581057524694945	SINE
26	DNA	187	0.108657757117955	DNA
26	LINE	29	0.0168506682161534	LINE
26	LTR	120	0.0697269029633934	LTR
26	RC	20	0.0116211504938989	RC
26	SINE	1	0.000581057524694945	SINE
27	DNA	134	0.0778617083091226	DNA
27	LINE	30	0.0174317257408483	LINE
27	LTR	73	0.042417199302731	LTR
27	RC	2	0.00116211504938989	RC
28	DNA	95	0.0552004648460198	DNA
28	LINE	12	0.00697269029633934	LINE
28	LTR	63	0.0366066240557815	LTR
28	RC	9	0.0052295177222545	RC
29	DNA	48	0.0278907611853574	DNA
29	LINE	10	0.00581057524694945	LINE
29	LTR	31	0.0180127832655433	LTR
29	RC	8	0.00464846019755956	RC
30	DNA	23	0.0133643230679837	DNA
30	LINE	10	0.00581057524694945	LINE
30	LTR	23	0.0133643230679837	LTR
30	RC	1	0.000581057524694945	RC
31	DNA	11	0.00639163277164439	DNA
31	LINE	1	0.000581057524694945	LINE
31	LTR	9	0.0052295177222545	LTR
31	RC	3	0.00174317257408483	RC
32	DNA	5	0.00290528762347472	DNA
32	LTR	6	0.00348634514816967	LTR
33	LTR	1	0.000581057524694945	LTR
34	DNA	2	0.00116211504938989	DNA
34	LTR	1	0.000581057524694945	LTR
